"Tipo","Codigo","Enunciado","Opcao_A","Opcao_B","Opcao_C","Opcao_D","Resposta_Correta_ou_Esperada","Area","Semestre"
"O","C05Q05","Qual a utilidade do comando try em Python?","Tenta executar um bloco de código e para se encontrar um erro.","Tenta executar um bloco de código e ignora os erros.","Tenta executar um bloco de código e levanta uma exceção se encontrar um erro.","Tenta executar um bloco de código e aborta o programa se encontrar um erro.","C","Comandos","1"
"S","C06Q01","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 c = 2 
 for a in range(1,10): 
 	 if (a % 2 == 0): 
 	 	 c += 1 
 print(c)","","","","","6","Programação","2"
"S","C06Q02","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 c = -2 
 for a in range(1,10): 
 	 if (a % 2 == 0): 
 	 	 c += 1 
 print(c)","","","","","2","Programação","2"
"S","C06Q03","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 def normal(n): 
 	 if n == 0: 
 	 	 return ""Ola"" 
 print(normal(0))","","","","","Ola","Programação","2"
"S","C06Q04","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 q = lambda x,y: x**y; 
 print(q(2,3));","","","","","8","Programação","2"
"S","C06Q05","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 for v in range(7,3,-1): 
 	 print(v,end="""") 
 if v == 4: 
 	 print(""Oi"");","","","","","7654Oi","Programação","2"
"S","C06Q06","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 for i in range(1,3): 
 	 print(""Foo"",end=""""); 
 print(""Bar"")","","","","","FooFooBar","Programação","2"
"S","C06Q07","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 def x(): 
 	 a = 2 
 	 if (a == 2): 
 	 	 print(""Foo"") 
 	 	 return 
 	 print(""Bar"") 
 x()","","","","","Foo","Programação","2"
"S","C06Q08","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 c = 1 
 for a in range(2,10,3): 
 	 if (a % 2 != 0): 
 	 	 c += 1 
 print(c)","","","","","2","Programação","2"
"S","C06Q09","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 c = -2 
 for a in range(2,10,2): 
 	 if (a % 2 == 0): 
 	 	 c += 1 
 print(c)","","","","","2","Programação","2"
"S","C06Q10","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 c = -2 
 for a in range(2,10,2): 
 	 if (a % 2 != 0): 
 	 	 c += 1 
 print(c)","","","","","-2","Programação","2"
